Fullname	CCY	Last	+/-	%	Bid	Ask	Volume	Turnover	Updated (CET)
SSH Communications Security	EUR	2.415	+0.015	+0.62%	2.41	2.445	2,500	6,130	09:21:10
Stendörren Fastigheter B	SEK	187.00	+0.80	+0.42%	184.60	186.20	10	1,870	09:18:49
Stenhus Fastigheter i Norden	SEK	12.14	+0.02	+0.16%	12.06	12.14	20	242	09:25:03
Stillfront Group	SEK	5.135	-0.145	-2.74%	5.115	5.135	717,808	3,684,443	09:26:14
Storskogen Group B	SEK	9.584	-0.06	-0.62%	9.562	9.584	115,400	1,111,039	09:26:18
Studsvik	SEK	262.00	-2.00	-0.75%	261.50	263.00	1,647	429,297	09:24:27
Sveafastigheter	SEK	34.50	-0.25	-0.71%	34.35	34.50	6,244	215,147	09:25:07
Svedbergs Group B	SEK	60.60	-0.10	-0.16%	60.30	60.60	6,996	425,326	09:17:06
SWECO B	SEK	129.10	+0.10	+0.07%	128.90	129.20	3,189	411,619	09:26:09
Swedish Logistic Property B	SEK	39.70	-0.05	-0.12%	39.60	39.85	3,747	149,219	09:25:24
SynAct Pharma	SEK	14.40	+0.04	+0.27%	14.26	14.40	24,703	350,873	09:24:36
Synsam	SEK	54.40	+0.40	+0.74%	54.20	54.50	9,318	505,599	09:25:05
Systemair	SEK	76.40	-0.20	-0.26%	76.10	76.60	688	52,627	09:25:17
Síldarvinnslan	ISK	109.00							00:00:00
Síminn	ISK	11.70							00:00:00
Sýn	ISK	21.80							00:00:00
Taaleri Oyj	EUR	7.56	0.00	0.00%	7.54	7.58	1,743	13,198	09:25:34
Talenom Oyj	EUR	1.268	+0.016	+1.27%	1.264	1.274	5,282	6,712	09:24:47
Terveystalo Oyj	EUR	8.13	+0.02	+0.24%	8.10	8.13	3,830	31,098	09:26:24
Thule Group	SEK	231.00	-0.60	-0.25%	230.40	231.00	3,552	820,489	09:26:08
Tieto Oyj	EUR	20.38	+0.04	+0.19%	20.34	20.42	9,214	186,950	09:25:44
Tobii	SEK	2.672	+0.092	+3.56%	2.66	2.676	164,352	431,401	09:26:11
Tokmanni Group Oyj	EUR	6.85	+0.03	+0.43%	6.835	6.85	12,108	82,638	09:26:01
TORM A	DKK	211.20	+1.20	+0.57%	210.60	211.40	23,511	4,913,988	09:25:20
Transtema Group	SEK	3.605	-0.18	-4.75%	3.65	3.70	8,471	30,599	09:19:55
TRATON	SEK	346.00	0.00	0.00%	345.00	346.00	2,614	905,302	09:25:56
Trianon B	SEK	18.25	-0.05	-0.27%	18.10	18.25	1,028	18,761	09:15:43
Trifork Group	DKK	88.00	-0.20	-0.22%	88.40	89.20	1,203	105,890	09:25:43
Troax Group	SEK	104.80	-1.00	-0.94%	104.80	105.20	2,848	299,779	09:25:08
Truecaller B	SEK	14.07	+0.37	+2.70%	14.045	14.095	252,851	3,540,904	09:25:51
UIE Plc	DKK	362.00	-11.00	-2.94%	362.00	364.00	4,784	1,730,911	09:25:36
Vaisala Oyj A	EUR	51.40	-0.20	-0.38%	51.30	51.60	943	48,376	09:25:33
VBG GROUP B	SEK	354.00	+4.00	+1.14%	353.00	354.50	1,731	610,415	09:25:42
Verkkokauppa.com Oyj	EUR	2.50	+0.02	+0.80%	2.49	2.505	14,218	35,523	09:24:03
Vestum	SEK	11.64	+0.08	+0.69%	11.52	11.64	29,832	345,827	09:22:31
Viaplay Group B	SEK	1.605	+0.006	+0.37%	1.604	1.61	1,489,004	2,370,491	09:25:55
Vicore Pharma Holding	SEK	10.98	-0.04	-0.36%	10.86	10.96	10,101	110,613	09:26:00
Vimian Group	SEK	30.30	+0.30	+1.00%	30.10	30.20	9,474	285,326	09:22:35
Vitec Software Group B	SEK	282.40	-0.60	-0.21%	282.00	282.40	7,437	2,103,325	09:25:39
Vitrolife	SEK	109.50	+1.50	+1.38%	109.30	109.50	4,212	458,655	09:25:42
VNV Global	SEK	18.36	+0.26	+1.43%	18.26	18.36	52,666	959,661	09:25:46
Volati	SEK	84.70	-0.10	-0.11%	84.30	84.80	4,267	360,665	09:24:36
Volvo Car B	SEK	22.53	+0.16	+0.71%	22.52	22.55	381,863	8,621,048	09:26:26
Wallenstam B	SEK	40.34	-0.16	-0.39%	40.28	40.36	4,467	180,462	09:26:10
Wihlborgs Fastigheter	SEK	85.35	+0.05	+0.05%	85.15	85.35	4,275	364,682	09:25:48
Xbrane Biopharma	SEK	11.80	+0.15	+1.28%	11.55	11.80	5,027	58,577	09:25:46
Xspray Pharma	SEK	25.80	+0.10	+0.38%	25.65	25.90	5,357	138,578	09:25:07
Xvivo Perfusion	SEK	289.20	+2.00	+0.69%	289.60	291.20	3,516	1,016,470	09:25:59
YIT Oyj	EUR	2.515	-0.015	-0.59%	2.50	2.52	3,005	7,572	09:25:17
Yubico	SEK	61.50	+0.75	+1.23%	61.30	61.50	53,610	3,285,566	09:24:59
Ísfélag	ISK	147.00							00:00:00
Íslandsbanki	ISK	144.60							00:00:00
Öresund	SEK	151.00	+0.60	+0.39%	150.40	151.00	4,183	629,227	09:25:53
