Fullname	CCY	Last	+/-	%	Bid	Ask	Volume	Turnover	Updated (CET)
Citycon Oyj	EUR	2.91	-0.025	-0.85%	2.91	2.925	10,311	30,202	09:25:33
Clas Ohlson B	SEK	436.00	+1.80	+0.41%	435.40	436.20	6,186	2,694,264	09:26:07
Cloetta B	SEK	53.50	+0.05	+0.09%	53.45	53.60	7,740	414,653	09:26:06
Coor Service Management Hold.	SEK	58.65	+0.45	+0.77%	58.50	58.65	5,416	317,454	09:25:46
Corem Property Group B	SEK	3.658	-0.04	-1.08%	3.658	3.678	166,013	611,934	09:25:49
CTEK	SEK	14.14	-0.02	-0.14%	13.92	14.28	3,051	43,536	09:22:45
CTT Systems	SEK	120.20	-1.20	-0.98%	119.40	120.20	25	3,003	09:23:24
D/S Norden	DKK	322.60	-2.00	-0.61%	322.00	323.40	5,135	1,661,671	09:25:37
Dedicare B	SEK	43.80	-0.70	-1.57%	43.65	43.80	103	4,513	09:25:44
Demant	DKK	241.20	+2.40	+1.00%	240.20	240.80	17,399	4,172,218	09:26:30
DFDS	DKK	147.20	-0.40	-0.27%	146.70	147.20	6,587	973,288	09:26:05
Diös Fastigheter	SEK	66.50	-0.10	-0.15%	66.30	66.50	3,452	229,386	09:25:49
Dometic Group	SEK	32.64	+0.32	+0.99%	32.60	32.70	12,948	421,841	09:26:26
Duni	SEK	85.30	-0.40	-0.46%	85.00	85.30	4,355	370,692	09:25:46
Dustin Group	SEK	1.736	+0.004	+0.23%	1.72	1.74	79,739	138,908	09:24:23
Dynavox Group	SEK	79.95	-0.65	-0.80%	79.40	79.75	6,472	517,471	09:26:18
Easor Oyj	EUR	0.71	+0.05	+7.57%	0.70	0.715	33,025	23,290	09:24:27
Eastnine	SEK	45.80	0.00	0.00%	45.65	45.80	2,489	113,791	09:25:27
Egetis Therapeutics	SEK	6.62	-0.08	-1.19%	6.62	6.65	23,610	157,094	09:26:02
Eik fasteignafélag	ISK	14.20							00:00:00
Eimskipafélag Íslands	ISK	224.00							00:00:00
Elanders B	SEK	48.85	+0.35	+0.72%	48.35	49.40	766	37,299	09:19:21
Electrolux B	SEK	49.66	+0.43	+0.87%	49.55	49.68	56,053	2,786,538	09:26:22
Electrolux Professional B	SEK	45.95	+0.15	+0.32%	45.85	46.00	10,115	462,689	09:26:11
Elekta B	SEK	61.00	+1.10	+1.83%	61.00	61.15	142,010	8,623,389	09:26:33
Embla Medical	DKK	26.40	+0.30	+1.14%	26.25	26.40	12,129	319,836	09:25:41
Embracer Group B	SEK	66.16	-1.84	-2.70%	65.92	66.16	198,241	13,258,745	09:26:29
Enad Global 7	SEK	19.88	-0.22	-1.09%	19.88	20.05	3,302	66,308	09:19:19
Endomines Finland Oyj	EUR	9.52	-0.28	-2.85%	9.60	9.64	22,593	215,927	09:26:23
Enea	SEK	87.80	0.00	0.00%	86.80	87.40	2,910	255,548	09:25:39
Enento Group Oyj	EUR	15.30	+0.18	+1.19%	15.22	15.34	868	13,160	09:25:36
engcon B	SEK	68.40	-0.70	-1.01%	68.10	68.50	48,434	3,352,696	09:25:28
Enity Holding	SEK	72.60	+0.30	+0.41%	72.60	72.80	19,259	1,403,239	09:25:44
Eolus B	SEK	44.00	+0.25	+0.57%	44.00	44.30	3,379	148,442	09:19:50
Ependion	SEK	141.60	+1.20	+0.85%	141.60	143.40	535	75,756	09:24:50
EQL Pharma	SEK	25.10	0.00	0.00%	24.80	25.00	2,714	67,729	09:15:58
Ework Group	SEK	59.90	+0.30	+0.50%	59.90	60.40	639	38,560	09:23:08
F-Secure Oyj	EUR	1.88	-0.008	-0.42%	1.874	1.884	11,578	21,860	09:24:57
Fabege	SEK	80.50	+0.05	+0.06%	80.30	80.55	4,805	386,263	09:25:46
Fagerhult Group	SEK	19.48	-0.02	-0.10%	19.40	19.48	14,220	277,186	09:26:23
Fasadgruppen Group	SEK	19.18	-2.07	-9.74%	19.08	19.20	225,412	4,240,221	09:26:36
Fastighetsbolaget Emilshus B	SEK	54.90	-0.30	-0.54%	54.60	55.00	409	22,454	09:22:33
Fastpartner A	SEK	42.30			42.20	42.40			09:18:36
Fenix Outdoor International B	SEK	419.00	0.00	0.00%	418.00	419.00	103	43,161	09:25:39
Ferronordic	SEK	50.40	+0.40	+0.80%	50.40	51.80	814	41,271	09:26:10
Festi	ISK	313.00							00:00:00
Fingerprint Cards B	SEK	13.30	-0.20	-1.48%	13.30	13.48	1,205	16,105	09:26:07
Finnair Oyj	EUR	3.884	-0.01	-0.25%	3.872	3.882	44,846	174,115	09:26:12
Fiskars Oyj Abp	EUR	14.14	+0.22	+1.58%	14.06	14.14	5,121	72,128	09:25:04
Flerie	SEK	23.80	+0.10	+0.42%	23.90	24.00	2,622	62,165	09:22:00
FLSmidth & Co.	DKK	522.00	+4.50	+0.86%	521.50	522.50	17,689	9,294,940	09:26:28
Føroya Banki	DKK	250.50	+1.00	+0.40%	250.00	251.50	50	12,525	09:01:06
G5 Entertainment	SEK	58.70	0.00	0.00%	58.00	58.60	291	17,102	09:25:38
Gentoo Media	SEK	6.50	-0.20	-2.98%	6.50	6.78	56,158	376,559	09:24:28
GN Store Nord	DKK	94.60	+0.50	+0.53%	94.56	94.72	22,181	2,091,715	09:25:43
Gofore Oyj	EUR	11.48	-0.16	-1.37%	11.54	11.64	2,245	25,832	09:24:09
Green Landscaping Group	SEK	33.50	0.00	0.00%	33.20	33.55	4,107	137,387	09:25:51
GRK Infra Oyj	EUR	14.94	+0.02	+0.13%	14.84	14.94	3,394	50,778	09:21:22
Gruvaktiebolaget Viscaria	SEK	17.00	-0.16	-0.93%	16.90	16.96	40,815	698,082	09:26:08
Gränges	SEK	182.30	+0.20	+0.10%	182.20	182.50	3,638	665,042	09:25:43
Gubra	DKK	341.60	+0.80	+0.23%	340.80	343.20	1,311	448,663	09:25:53
H+H International	DKK	100.80	-0.80	-0.78%	100.80	102.00	2,864	296,358	09:23:51
H. Lundbeck B	DKK	42.40	+1.00	+2.41%	42.34	42.42	67,120	2,817,834	09:25:54
Hacksaw	SEK	83.00	+0.60	+0.72%	82.95	83.15	71,275	5,880,717	09:25:50
Hagar	ISK	123.00							00:00:00
Hampiðjan	ISK	89.00							00:00:00
Hansa Biopharma	SEK	33.00	-0.58	-1.72%	32.94	33.10	85,462	2,845,821	09:26:08
HANZA	SEK	176.40	-1.40	-0.78%	175.80	176.40	4,171	737,815	09:25:05
Harboes Bryggeri B	DKK	108.40	-3.20	-2.86%	109.20	110.80	1,100	119,240	09:15:23
Harvia Oyj	EUR	39.60	+0.20	+0.50%	39.40	39.60	1,796	70,777	09:26:10
HEBA B	SEK	25.75	-0.05	-0.19%	25.80	25.95	6,876	177,478	09:25:21
Heimar	ISK	35.80							00:00:00
Hemnet Group	SEK	97.20	+0.85	+0.88%	96.75	97.20	28,383	2,761,710	09:26:15
Hexatronic Group	SEK	44.28	-0.48	-1.07%	44.28	44.34	39,452	1,746,263	09:25:55
HEXPOL B	SEK	75.40	-0.20	-0.26%	75.30	75.50	6,086	459,537	09:25:37
Hiab Oyj	EUR	50.15	+0.05	+0.09%	50.05	50.15	1,423	71,454	09:25:38
HMS Networks	SEK	560.00	-5.00	-0.88%	560.00	561.50	1,951	1,101,758	09:24:11
Hoist Finance	SEK	167.60	+0.60	+0.35%	167.10	167.60	2,420	404,803	09:25:36
Hufvudstaden A	SEK	127.60	-0.40	-0.31%	127.60	127.80	7,034	895,960	09:25:05
Huhtamäki Oyj	EUR	26.46	-0.44	-1.63%	26.44	26.48	3,114,899	78,777,493	09:26:18
Humana	SEK	51.20	+0.70	+1.38%	51.10	51.50	22,400	1,146,836	09:25:55
Humble Group	SEK	7.14	-0.07	-0.97%	7.14	7.20	3,437	24,757	09:24:32
HusCompagniet	DKK	35.10	-0.60	-1.68%	35.10	35.60	44	1,544	09:25:00
Husqvarna B	SEK	42.28	-0.46	-1.07%	42.21	42.29	49,885	2,116,864	09:26:14
Icelandair Group	ISK	0.736							00:00:00
